Location,X,Y,Overall,Stall Space,Stall Space Description,Cleanliness,Cleanliness Description,Privacy,Privacy Description,Smell,Stench Description
Engineering Center G Floors 2 and 3,33.42011804,-111.9321281,3.25,4,Very small stall space. There is always a line to use the bathroom because there are only 3 stalls. ,2,It is an old bathroom that smells. Often runs out of toilet paper. ,4, Many stall locks are broken and must be closed with lots of force. Very little privacy.,3,Very musty smelling.
Goldwater Center,34.028,-111.047,4.333333333,3,Smaller stalls with little room to maneuver.,7,"Cleaning could be improved, especially during peak hours.",Low,"Very little privacy, sound carries throughout.",3,Odor from the adjacent cafeteria can be overpowering.
John W. Schwada Building,33.41927915,-111.9307042,3,3,cramp and nasty,5,not that great,4,;{,0,very high 
L. S. Neeb Hall,33.42044994,-111.9368751,4.75,4,"There are few, cramped stalls.",4,These bathrooms are not the most clean. They eminate an almost 'moist' feeling.,7,These bathrooms are never crowded; you will occasionally be accompanied by one or two students.,4,"There is no smell, however the air feels a bit humid."
Latte Coor Hall,33.41934,-111.93781,6.333333333,0,Stalls with a comfortable amount of space for personal belongings.,10,"Regularly cleaned, with attention to detail evident.",High,High walls ensure a sense of seclusion and safety. Not very private. Lock on the gender neutral bathroom in this area is broken... I walked in on a guy once... very embarrassing ,9,"A refreshing mint scent lingers in the air. Despite the overwhelming amount of stalls in this area, the stench is not too pertubing"
Rob and Melani Walton Center for Planetary Health,33.42208154,-111.927013,8.25,5,"Few stalls, however they are very spacious.",9,"Exceptionally clean, almost looks untouched by man.",9,"This secluded bathroom never receives visitors, you will be treated with rare private disaster relief.",10,"It does not smell like anything, but in a good way."
Student Pavillion,33.419,-111.934,8,8,"While there are not many stalls, the stalls themselves are quite spacious.",9,"One of the cleanest bathrooms on campus. Modern facilities, shiny floors, metal doors.",7,These bathrooms are not often crowded. They are safe havens in the face of severe disasters.,8,There has not been an experience where there has been remotely ANY stench.
Sun Devil Fitness Complex,33.41533729,-111.9325532,5.5,6,Gives public hgihschool vibes.  Limited number of stalls. ,6,Okay cleanliness. ,4,Large gaps between the stall doors. ,6,Bad Smelling
Vista Building D ,33.41166093,-111.9299513,5.625,8.5,Very homey... quite dirty though,4,Much hair ,10,,0,Farts galore 
ISTB-4,33.41771,-111.9281,6.5,5,"Standard stall sizes, a bit tight during busy hours.",8,"Generally clean, though paper towels can accumulate.",6,"Adequate privacy, but sound carries easily.",7,A mix of cleaning supplies and lingering food scents.
Physical Sciences Building F-wing 6th Floor ,33.4209,-111.93127,7.75,8,Good-sized stalls with just enough room for personal items.,10,"Maintained by dedicated staff, cleanliness is prioritized.",6,Stalls are somewhat private but can feel exposed.,7,"Fresh air circulates well, keeping odors at bay."
K Building Public Rest Rooms,33.41404789,-111.9287891,7.5,5,Regular....,7,Consistenly clean.,10,"Hidden, secret....",8,"If you enjoy Osaka Grill's food, you will exit this bathroom slightly hungry "
